likes,comment,share,followers,engagement rate,date,month,year,time,average likes,comment ratio,average comments
8122,391,207,742592,3.18,12/02/2022,October,2022,18:47,6786,0.27,161
186,106,109,73275,0.87,16/08/2021,June,2021,6:45,2896,0.69,689
4735,743,262,931761,7.32,11/06/2022,November,2022,18:21,8160,0.48,210
6691,40,279,820364,5.29,30/04/2020,December,2021,10:18,3307,0.77,629
252,688,334,634434,5.65,23/02/2021,April,2020,10:32,9662,0.93,618
4032,591,429,679960,9.98,17/01/2022,February,2020,17:32,5897,0.53,862
8903,530,76,931305,7.65,14/01/2020,March,2021,18:04,8951,0.63,429
6202,373,283,465122,5.44,15/03/2022,February,2021,11:10,5155,0.3,211
4290,204,124,775475,4.31,19/01/2022,October,2021,7:58,8877,0.17,984
9106,952,407,321970,1.13,28/07/2021,November,2022,14:44,5612,0.11,410
9628,364,290,314117,6.57,01/02/2021,March,2022,1:30,6964,0.21,101
2690,548,130,174112,9.02,28/04/2022,September,2020,4:51,9507,0.0,696
9635,160,200,365088,3.69,17/12/2022,March,2022,5:36,1622,0.37,716
9735,715,225,467253,1.64,16/03/2022,April,2021,2:29,4191,0.13,111
2803,383,290,218105,4.61,28/08/2021,November,2020,17:24,2872,0.69,667
8881,555,130,984742,1.46,28/12/2022,June,2021,12:28,2773,0.38,689
1637,388,390,552852,1.84,03/09/2022,June,2022,18:42,291,0.21,932
6326,773,119,769603,1.25,03/02/2021,April,2021,9:43,6443,0.63,789
6998,88,466,62478,3.54,06/09/2020,September,2022,3:56,2254,0.77,987
134,489,161,572674,9.25,15/07/2022,August,2020,16:35,9242,0.47,117
8685,963,210,87219,8.46,16/01/2020,April,2021,10:25,4060,0.82,232
4173,479,192,455956,9.85,25/11/2022,November,2020,23:49,9233,0.35,762
7257,579,186,934019,1.0,24/12/2020,April,2020,16:43,9056,0.57,35
8791,940,324,668287,6.53,01/03/2020,July,2021,1:58,2961,0.91,824
4630,642,76,110281,2.47,17/07/2022,August,2022,10:01,4039,0.65,674
180,581,473,713361,6.31,14/02/2021,May,2020,22:02,9694,0.02,343
5418,902,348,485512,1.53,23/06/2022,April,2020,2:29,9705,0.43,774
6914,682,5,640443,5.27,09/11/2020,March,2022,9:26,647,0.92,245
2066,59,464,239510,6.51,10/08/2021,October,2020,1:01,7025,0.99,599
5118,284,191,586957,4.74,23/10/2022,July,2022,14:22,4246,0.51,319
9995,75,74,783556,0.47,05/11/2020,September,2022,11:10,1852,0.05,615
2450,399,317,520970,6.54,23/11/2022,January,2021,0:00,308,0.18,397
3802,101,256,532286,7.18,15/10/2020,March,2022,10:03,7930,0.0,54
3563,667,50,128384,9.04,04/08/2022,November,2022,2:47,2835,0.67,135
7197,64,407,751556,2.81,02/04/2021,February,2022,7:51,9462,0.79,268
8152,550,385,108809,2.81,02/07/2021,September,2020,21:51,1363,0.21,830
3605,859,219,742195,6.57,02/08/2020,May,2021,8:22,4614,0.49,20
6092,16,440,362023,5.91,17/05/2022,January,2022,15:04,2242,0.41,702
1928,60,461,822191,1.42,22/02/2021,September,2020,0:06,6112,0.72,92
839,775,296,195314,3.21,16/04/2020,January,2020,13:16,6868,0.48,710
3820,804,133,948177,5.59,11/10/2021,January,2022,5:29,4885,0.62,301
9127,486,363,227332,4.53,07/11/2020,August,2021,18:52,9952,0.86,134
149,65,366,584964,5.19,24/06/2020,November,2022,18:04,9750,0.7,331
3378,617,180,747378,6.5,10/10/2020,March,2021,18:16,5167,0.16,9
7772,744,353,199758,8.84,21/09/2020,March,2020,9:35,8930,0.58,861
5916,271,219,981704,8.25,30/01/2022,February,2020,19:40,3970,0.75,529
9913,792,145,230671,5.55,24/08/2021,August,2021,11:03,5898,0.12,274
9227,755,441,710377,4.16,26/12/2022,June,2021,17:46,3825,0.05,669
9204,36,350,511653,1.31,13/06/2020,July,2021,5:05,6627,0.7,757
4131,389,428,879004,7.42,03/08/2021,April,2022,19:00,1877,0.4,176
3276,694,254,62667,2.76,11/08/2021,November,2020,14:49,2231,0.9,947
648,944,394,551114,2.15,15/02/2021,September,2020,18:52,3197,0.45,89
1068,182,139,34740,7.38,01/03/2022,March,2021,19:33,6051,0.41,316
1512,543,468,509308,0.34,30/04/2021,March,2022,22:17,6450,0.27,146
376,878,326,743111,1.56,18/03/2020,April,2022,21:37,1519,0.49,946
4809,475,165,348474,9.74,07/10/2020,July,2022,20:08,4970,0.19,451
9651,158,277,540463,4.11,04/02/2021,June,2022,10:42,7409,0.36,756
1339,573,356,476400,3.16,20/10/2021,July,2022,15:26,4320,0.2,286
2351,203,169,960616,0.6,20/10/2020,June,2021,7:20,4672,0.84,788
9555,679,133,344534,8.69,25/09/2021,February,2020,10:21,4137,0.11,267
5991,173,351,23061,0.68,29/11/2021,January,2020,4:30,5346,0.25,618
4395,250,307,177315,6.16,10/05/2022,February,2021,6:18,918,0.17,428
5935,682,199,224743,1.99,02/09/2022,July,2020,8:20,3257,0.79,339
6217,39,407,337476,7.92,02/02/2022,December,2020,19:20,79,0.92,550
6273,47,492,947427,4.53,04/02/2020,June,2021,17:40,8494,0.7,263
1937,178,373,117507,1.58,28/03/2020,December,2020,11:35,8538,0.95,18
9342,698,489,984905,1.84,17/09/2022,September,2021,16:02,3024,0.89,843
3844,88,14,584298,7.34,25/05/2021,January,2021,19:01,9820,0.19,500
6866,905,229,286274,6.08,10/05/2020,December,2022,13:23,5017,0.02,358
9667,454,230,266581,7.01,31/12/2021,May,2020,19:53,7559,0.66,523
8423,520,416,730089,9.86,29/12/2022,August,2022,7:01,5313,0.12,251
5289,646,248,34689,9.17,08/10/2020,October,2022,9:04,7905,0.78,76
3025,172,94,372196,8.95,05/07/2020,May,2021,23:30,6352,0.63,176
7685,76,169,579935,7.93,08/10/2022,February,2022,12:49,1015,0.14,238
8949,851,204,641956,0.07,22/05/2021,May,2021,12:08,2824,0.35,423
1016,749,423,408280,7.48,01/09/2022,May,2020,15:05,7265,0.84,275
9433,899,9,443406,7.1,19/06/2022,September,2022,23:48,2179,0.48,439
9052,286,435,384617,7.77,12/06/2022,January,2021,2:22,2768,0.57,211
6595,591,79,708995,5.67,13/04/2020,May,2020,19:42,5044,0.7,298
0,846,383,569624,6.37,28/05/2021,May,2020,21:11,5528,0.51,99
4793,597,376,317278,1.34,22/09/2020,March,2021,12:57,5600,0.58,344
5320,955,395,447876,4.55,05/07/2021,July,2021,3:08,658,0.66,199
1898,476,267,497491,3.16,01/09/2021,January,2020,19:55,3879,0.84,698
1792,291,253,912247,2.54,06/12/2022,May,2021,15:47,8435,0.11,461
4317,964,36,2504,7.27,28/12/2022,August,2021,8:36,8936,0.63,622
1565,544,155,378287,0.96,09/12/2021,August,2022,2:58,1923,0.73,690
9153,174,411,637078,7.43,03/03/2020,October,2020,22:25,4363,0.96,679
9155,9,189,749156,8.74,01/10/2020,December,2022,15:07,3541,0.38,963
6661,42,36,644280,1.46,31/07/2020,June,2022,12:48,150,0.48,513
6312,712,480,401513,1.97,17/06/2020,November,2022,19:36,3627,0.33,367
2497,802,104,589076,3.61,28/05/2022,November,2020,23:37,9442,0.28,564
3868,725,489,452672,0.96,28/05/2020,December,2022,10:59,9039,0.34,542
7574,303,168,231754,3.57,10/06/2022,December,2022,15:20,7290,0.23,198
1510,254,201,562434,3.36,05/08/2022,July,2022,2:25,783,0.72,963
7233,307,270,703292,1.21,18/12/2020,January,2020,11:45,9778,0.2,805
604,640,344,970582,9.53,24/02/2021,June,2021,15:07,2748,0.9,70
204,659,270,148202,8.2,13/11/2020,December,2020,7:24,6575,0.32,557
3036,300,116,123811,0.18,03/05/2022,January,2021,23:37,5813,0.43,35
9187,865,446,401920,2.42,21/08/2021,January,2022,0:55,699,0.72,421
1431,959,441,240084,2.37,26/09/2021,February,2021,5:45,2143,0.34,726
1063,8,12,449439,3.24,21/11/2020,April,2021,19:33,8803,0.15,965
265,950,223,4671,6.67,13/02/2021,January,2022,15:43,8649,0.01,608
5097,638,191,379627,8.43,16/12/2022,May,2022,12:26,5786,0.79,539
8474,733,405,695937,4.09,01/08/2022,April,2021,20:48,4795,0.72,554
126,482,47,745653,6.27,21/09/2020,April,2022,0:37,9352,0.89,780
805,692,45,24566,9.83,07/12/2021,December,2020,7:31,2903,0.89,382
6573,92,471,38346,1.85,30/12/2022,October,2020,5:56,3343,0.64,691
7168,997,258,90147,5.31,28/04/2022,February,2020,3:27,8324,0.35,343
4963,705,341,483940,9.3,21/12/2022,March,2021,18:46,4032,0.22,359
7359,183,243,550982,9.04,02/11/2021,March,2022,15:31,4012,0.41,482
4108,473,46,987688,7.75,31/05/2021,October,2022,17:05,7886,0.27,646
1622,854,499,111337,2.9,24/11/2021,June,2020,23:39,4136,0.43,35
2112,290,7,50521,3.85,04/10/2021,July,2022,9:22,7708,0.78,813
6821,620,186,382003,7.79,30/03/2021,December,2021,1:45,8952,0.79,750
4901,842,488,515339,5.46,09/03/2022,January,2022,19:24,4280,0.72,749
8140,326,83,287914,9.76,26/01/2022,May,2022,16:02,9263,0.02,365
4585,234,402,33639,1.57,22/05/2022,July,2020,22:40,8794,0.18,349
3530,922,474,21362,6.18,23/10/2021,May,2020,18:17,6061,0.1,829
5268,134,40,970994,9.28,17/04/2020,June,2021,18:57,3586,0.21,1000
1931,416,144,721066,6.35,02/02/2020,April,2021,17:49,7011,0.65,629
5245,284,319,967476,0.31,11/04/2020,September,2022,14:57,1466,0.22,650
4859,321,106,720430,2.09,10/06/2021,January,2022,19:55,7515,0.76,622
9359,442,289,465712,7.84,22/09/2021,November,2021,13:27,4681,0.0,567
247,168,273,954464,8.98,07/07/2020,April,2022,6:44,3204,0.64,271
6653,201,497,196200,4.65,02/05/2021,August,2022,2:08,5252,0.61,786
4233,298,240,607362,1.18,22/05/2022,December,2021,4:51,5829,0.31,377
1374,381,156,324334,1.47,21/10/2022,May,2021,16:59,4580,0.97,267
9226,596,343,973345,1.32,19/01/2021,December,2021,8:48,5988,0.39,776
2108,200,74,263412,7.82,17/01/2021,August,2022,22:09,7496,0.68,681
5563,868,328,247571,5.16,28/04/2020,April,2022,16:06,9582,0.71,593
6570,847,13,666157,3.24,09/05/2021,January,2021,1:54,8512,0.54,689
244,810,448,155991,9.9,17/05/2021,April,2021,9:50,9723,0.2,374
4887,82,17,745019,4.79,22/11/2022,October,2020,7:51,1788,0.98,472
1099,87,381,798247,6.8,05/01/2022,February,2022,5:49,7928,0.97,849
7059,466,306,412812,2.91,12/11/2020,June,2021,23:04,7322,0.56,184
4432,766,366,714448,8.81,07/06/2022,January,2021,7:59,9077,0.97,624
3099,256,154,550952,9.8,03/04/2020,February,2021,12:58,6543,0.63,931
7660,580,28,2539,1.54,20/05/2022,March,2021,23:23,7417,0.25,169
7560,553,230,191506,9.69,12/08/2020,February,2020,22:26,6647,0.93,107
1754,381,126,316762,5.28,21/04/2022,August,2021,21:47,1818,0.82,56
103,187,334,791000,9.41,04/01/2021,May,2021,23:40,3049,0.13,471
6610,968,466,823646,7.38,08/01/2022,October,2020,21:22,5500,0.58,583
6648,789,163,711966,1.84,13/06/2021,April,2020,0:48,8858,0.79,187
4570,984,155,735138,8.41,25/02/2020,May,2020,13:58,2341,0.48,916
5443,319,409,923227,9.58,24/05/2021,April,2021,8:06,4563,0.28,572
7926,66,345,760998,7.32,18/05/2022,July,2021,9:29,5459,0.29,879
8241,168,250,977728,5.06,19/09/2022,April,2022,1:34,9877,0.06,297
5177,818,60,964457,5.58,21/04/2020,February,2022,6:25,795,0.79,653
3050,638,385,642745,6.4,15/02/2020,November,2022,6:16,3280,0.35,226
4251,953,375,338611,0.65,09/03/2021,April,2021,21:47,6843,0.75,175
9278,73,448,152203,2.26,13/10/2020,July,2022,2:41,2252,0.85,410
6619,752,383,70803,8.18,28/10/2020,January,2022,14:03,4474,0.84,86
9613,878,489,263090,2.01,17/12/2021,August,2021,23:50,7373,0.35,601
5866,186,442,714202,5.43,06/12/2022,August,2021,1:43,3970,0.6,132
1961,752,172,638826,1.68,12/03/2022,February,2021,9:43,3969,0.23,371
9718,265,430,248219,0.18,26/05/2022,November,2021,19:11,5393,0.82,51
8741,645,400,675511,8.05,16/04/2022,March,2020,21:03,6806,0.24,540
773,27,154,228592,3.74,11/08/2021,June,2022,11:05,3361,0.13,210
3634,45,241,109715,3.16,09/03/2022,November,2022,5:58,3179,0.66,142
8893,715,234,344826,7.92,10/01/2021,May,2022,3:42,8447,0.98,937
1307,491,239,676989,6.71,14/12/2021,December,2022,19:06,5487,0.02,191
6442,805,35,757561,6.91,03/12/2021,July,2021,23:01,8982,0.85,728
7344,317,88,214411,6.02,27/09/2022,November,2022,5:43,6044,0.17,40
9043,380,485,217835,9.85,21/04/2020,June,2021,18:04,2046,0.27,421
2595,901,191,968408,8.58,19/01/2021,May,2020,8:34,9742,0.65,652
4444,334,131,109786,4.0,07/03/2020,October,2020,18:44,9941,0.99,655
3409,715,119,312026,5.85,18/01/2022,February,2020,23:37,1973,0.44,834
1319,1000,220,647764,1.66,19/02/2020,February,2020,17:10,2559,0.12,965
8866,88,216,331309,0.35,10/11/2022,February,2020,17:33,125,0.1,768
7831,482,353,983664,2.88,24/06/2021,January,2021,16:09,9576,0.5,991
2413,118,54,280696,8.37,03/12/2020,November,2020,4:39,9014,0.8,445
5852,506,133,874021,8.74,24/04/2020,April,2022,11:30,9283,0.59,508
6545,432,306,845366,4.98,08/01/2022,June,2020,15:17,4082,0.4,435
8706,145,279,237726,9.6,15/07/2021,January,2022,20:19,57,0.98,698
5627,206,443,730566,1.06,22/05/2021,August,2020,12:26,9387,0.23,991
5219,501,226,664263,9.64,28/04/2021,March,2021,11:13,3134,0.92,360
1212,279,135,720947,8.38,17/09/2020,October,2020,13:13,6897,0.56,301
7177,85,342,624821,7.09,15/10/2020,May,2021,10:00,6220,0.14,388
3258,651,236,294385,2.29,11/07/2021,August,2020,11:43,5105,0.43,566
5298,774,439,11402,4.75,18/08/2022,July,2021,16:31,2559,0.36,805
1193,466,385,431264,3.16,28/12/2021,February,2021,4:16,4151,0.01,273
2160,562,132,783814,0.26,10/09/2022,July,2022,11:17,6917,0.59,294
5616,167,209,732588,8.47,11/12/2021,April,2022,9:03,3887,0.69,53
5534,272,386,793472,6.27,02/06/2022,June,2021,1:59,3138,0.55,587
837,296,480,738136,5.14,02/07/2022,December,2021,14:44,4341,0.96,553
6642,569,43,111657,2.47,08/08/2020,October,2021,5:44,9067,0.46,887
4083,618,233,472224,9.73,27/03/2022,March,2022,11:10,8343,0.86,446
5302,624,401,694314,2.92,14/05/2022,July,2020,15:21,503,0.22,436
7058,712,289,41652,3.32,14/08/2021,March,2022,4:39,2154,0.98,325
4156,236,162,631496,5.65,29/10/2021,March,2020,11:00,6065,0.85,353
4131,192,40,353673,9.5,09/01/2020,April,2021,11:49,740,0.27,334
8229,58,0,373839,5.93,02/07/2020,August,2021,3:33,8424,0.74,118
4089,351,195,962982,7.34,03/11/2022,April,2020,9:57,8817,0.41,162
7012,107,150,61142,4.4,03/08/2022,September,2022,23:30,4251,0.29,14
4026,316,300,864149,9.81,11/11/2022,July,2021,22:27,6164,0.82,910
7507,741,381,153064,4.06,05/06/2021,August,2020,15:06,1466,0.06,419
8481,17,70,409635,2.98,21/12/2020,April,2020,2:58,1431,0.73,103
4223,575,254,900482,3.93,03/07/2021,January,2021,9:25,7004,0.88,200
4744,227,329,200774,1.67,03/07/2020,December,2020,1:50,9947,0.57,604
2206,215,459,24186,4.59,25/03/2020,August,2022,3:19,8860,0.89,107
975,885,271,624698,2.64,19/02/2020,October,2021,3:29,9453,0.44,642
3632,758,492,695512,6.27,30/03/2022,August,2022,8:34,8925,0.94,361
8268,444,168,836175,8.67,07/10/2020,February,2021,23:37,321,0.0,242
3610,523,52,850588,2.55,18/02/2020,August,2022,18:26,140,0.16,327
6807,492,387,890070,1.55,20/06/2022,March,2022,14:42,7836,0.28,391
8844,968,280,568252,0.06,11/02/2022,June,2021,18:24,6809,0.57,480
7102,637,167,156641,0.85,15/07/2020,December,2020,4:05,1032,0.37,756
1902,463,118,645907,2.05,09/05/2021,August,2022,7:57,9354,0.09,922
9319,143,269,658775,8.77,01/04/2021,October,2021,4:27,2507,0.02,979
2414,43,32,708751,3.85,19/10/2020,October,2021,11:35,3113,0.84,89
2772,278,459,336341,8.6,24/02/2020,October,2020,0:05,1988,0.23,148
1202,687,1,640865,6.91,22/07/2021,June,2020,2:11,9290,0.21,634
4353,971,297,612637,3.55,04/11/2022,December,2021,21:01,3391,0.69,815
3169,638,267,733828,0.58,18/05/2022,January,2020,18:42,3003,0.86,578
2148,831,123,856179,4.1,24/02/2020,June,2020,5:36,4856,0.63,224
5145,539,167,14813,5.88,11/02/2020,October,2020,10:42,9170,0.01,324
6273,117,131,292703,8.0,30/09/2020,June,2022,20:10,3321,0.23,237
4895,226,489,460036,8.16,24/05/2020,August,2022,20:37,3678,0.41,462
9877,507,371,783691,2.22,23/08/2020,February,2021,7:57,6835,0.01,188
7095,708,455,189853,0.02,19/07/2022,April,2022,16:20,9594,0.79,272
7071,378,344,255916,1.43,25/02/2021,August,2022,2:10,8584,0.29,195
621,873,70,984497,7.92,03/06/2022,May,2020,2:25,6100,0.83,24
843,870,201,459011,1.7,15/07/2022,August,2021,2:50,8847,0.67,344
1676,55,489,454786,0.94,27/08/2020,October,2021,21:35,3629,0.47,794
4423,252,306,336857,3.93,10/10/2022,April,2021,5:04,2992,0.01,454
533,86,380,202889,3.12,28/12/2020,December,2022,13:42,2666,0.11,302
2469,26,283,731972,1.73,16/02/2022,July,2020,21:00,5902,0.24,488
2932,500,344,645680,6.09,12/04/2020,September,2020,17:13,4061,0.33,838
862,716,305,879006,6.37,11/11/2022,February,2021,15:06,5717,0.35,344
4,550,232,23859,4.89,28/11/2021,August,2020,22:05,6878,0.3,659
3952,172,166,342859,3.98,23/03/2022,December,2021,2:22,2702,0.45,446
4728,368,10,178186,5.7,17/03/2022,September,2020,16:33,3069,0.91,136
427,380,446,577621,1.8,08/07/2020,June,2021,18:20,1381,0.56,527
2598,581,383,556451,0.38,23/06/2022,October,2021,23:48,3923,0.16,195
8372,326,475,282910,1.65,04/08/2020,January,2022,3:08,9579,0.03,622
4060,448,282,668453,9.83,20/12/2022,May,2020,13:54,4391,0.09,188
6239,367,386,854627,7.85,03/04/2021,December,2021,20:58,6450,0.68,596
7961,445,486,492967,3.71,05/03/2022,July,2020,2:52,3256,0.25,758
2292,699,466,416788,3.43,29/12/2020,July,2020,23:22,2624,0.29,146
1059,148,270,901182,1.82,06/11/2022,September,2020,23:10,1724,0.32,242
1131,185,415,430417,9.21,16/09/2022,June,2021,1:38,9752,0.17,540
6766,906,285,215913,4.78,13/07/2022,November,2022,8:25,7222,0.89,630
1442,286,45,863885,7.66,30/06/2022,May,2020,0:56,9261,0.12,416
1385,446,325,59451,4.96,04/12/2021,August,2021,21:42,4748,0.52,325
5142,935,165,435873,2.38,06/08/2021,June,2020,17:09,1727,0.53,134
5196,501,422,807939,0.68,14/08/2020,April,2022,4:19,8352,0.08,203
865,190,232,853417,0.27,27/04/2021,August,2022,5:19,70,0.98,78
127,183,123,704369,8.4,08/03/2021,December,2021,2:06,9823,0.28,94
784,848,9,238396,7.02,11/05/2022,April,2021,20:27,7285,0.23,995
6543,911,326,842196,7.22,11/03/2022,June,2021,20:40,7101,0.22,964
8892,722,3,366535,9.38,21/12/2020,August,2022,18:26,5369,0.09,45
2242,927,324,453041,2.83,25/11/2020,August,2021,16:06,4310,0.9,873
6678,52,84,176096,6.18,28/03/2021,September,2022,10:44,5761,0.05,973
6538,406,83,75274,3.57,26/10/2020,May,2021,0:55,7602,0.57,56
5179,524,411,646842,1.06,01/05/2022,January,2021,3:18,7315,0.86,130
5024,840,25,31028,5.26,26/06/2022,April,2021,2:55,5204,0.25,427
4030,732,237,860675,6.43,02/07/2022,November,2021,23:42,6510,0.28,508
9017,166,99,796261,7.04,17/02/2022,July,2020,0:45,5817,0.96,662
125,490,78,352243,3.85,28/04/2022,June,2022,15:27,8173,0.87,381
4085,870,490,890888,2.08,18/08/2022,June,2022,15:56,6187,0.09,918
703,622,247,516943,9.45,01/06/2022,May,2020,12:05,1957,0.8,825
6195,34,395,972295,3.15,15/05/2022,May,2022,5:55,3189,0.44,551
8882,361,122,310311,1.31,10/10/2021,March,2021,8:01,1499,0.12,968
3760,949,151,476587,5.4,23/07/2020,April,2022,13:31,8950,0.61,945
554,151,390,648706,3.06,28/06/2021,December,2022,21:35,8615,0.03,629
1427,282,464,45241,4.71,24/09/2022,August,2020,20:40,7530,0.86,222
7099,395,271,748812,7.82,26/09/2021,August,2020,21:27,2215,0.19,217
7842,982,261,919519,5.38,07/01/2021,March,2021,10:33,1755,0.57,5
4660,848,299,150007,8.06,22/04/2021,November,2020,0:00,8867,0.65,879
8839,875,50,735605,2.86,12/07/2022,August,2021,5:18,9533,0.99,342
9289,32,36,358435,2.77,20/08/2021,January,2020,2:49,3393,0.33,929
6813,764,351,842890,4.68,21/08/2021,May,2020,19:55,7781,0.36,716
5865,344,138,626724,0.52,20/06/2022,October,2021,19:21,8669,0.52,19
4357,466,53,777034,2.91,10/10/2020,April,2021,11:56,2343,0.99,381
9945,870,16,927619,2.79,27/12/2021,November,2022,19:22,2835,0.97,653
7375,989,218,274231,5.73,21/03/2022,December,2022,23:58,4296,0.08,936
6391,897,402,905422,7.89,14/09/2020,April,2021,16:13,9452,0.51,124
431,364,110,429201,7.65,27/08/2020,January,2022,1:38,7411,0.98,205
4929,881,210,104306,2.09,10/04/2020,October,2021,9:06,6986,0.45,461
5387,96,88,179256,4.88,01/01/2020,November,2020,3:53,2438,0.97,782
5085,908,113,842483,7.96,25/06/2020,November,2020,13:40,2586,0.78,387
